npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  5/21/2026 8:39:16 PM ::1 GET /
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 26 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /style.css
 HTTP  5/21/2026 8:39:16 PM ::1 GET /config.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 6 ms
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 3 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /contracts.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 6 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /core.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 4 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /router.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 4 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /home.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 4 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /marketplace.js
 HTTP  5/21/2026 8:39:16 PM ::1 GET /app.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 3 ms
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 3 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /env-control.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /product.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 3 ms
 HTTP  5/21/2026 8:39:16 PM ::1 GET /login.js
 HTTP  5/21/2026 8:39:16 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:39:17 PM ::1 GET /views/marketplace.html
 HTTP  5/21/2026 8:39:17 PM ::1 Returned 301 in 1 ms
 HTTP  5/21/2026 8:39:17 PM ::1 GET /views/marketplace
 HTTP  5/21/2026 8:39:17 PM ::1 Returned 200 in 4 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 2 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /style.css
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 4 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /config.js
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /contracts.js
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /core.js
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /router.js
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /home.js
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /marketplace.js
 HTTP  5/21/2026 8:40:19 PM ::1 GET /app.js
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /env-control.js
 HTTP  5/21/2026 8:40:19 PM ::1 GET /product.js
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 3 ms
 HTTP  5/21/2026 8:40:19 PM ::1 GET /login.js
 HTTP  5/21/2026 8:40:19 PM ::1 Returned 200 in 1 ms
 HTTP  5/21/2026 8:40:20 PM ::1 GET /views/marketplace.html
